PC1,PC2,dx_id,cluster,Cluster Option
-0.4516156824876069,2.2486511752388956,11240315,1,2 clusters
-2.2833046124526297,-6.34121832269502,11240316,1,2 clusters
-4.213459515837095,-4.765409929658281,11240387,1,2 clusters
2.253971639873283,3.0235303654633863,2480726,2,2 clusters
4.193177676062094,5.618750169247297,2631112,2,2 clusters
0.5483986970455188,1.405667748196197,3560495,2,2 clusters
-4.0663428031228515,-5.695837356474608,4285237,1,2 clusters
-0.7695328826700324,-6.2836449038770406,9.99E+74,1,2 clusters
-2.6346254530044884,1.664484224713234,9999DNL,1,2 clusters
0.4539331602848692,-2.049126424307274,9999DNM,1,2 clusters
5.019194005463174,-2.4274019453137217,9999EKN,2,2 clusters
2.1091965689804137,-0.9089965208603227,9999EKP,2,2 clusters
-1.758529532798398,-4.478165831613785,9999EKX,1,2 clusters
8.886682031857639,1.5847907356247677,9999EKY,2,2 clusters
3.4090497479974995,0.6449676329011599,9999EL4,2,2 clusters
4.75521696058068,-1.6383070407142666,9999ELC,2,2 clusters
4.931105547083793,-4.85033231675697,9999ELJ,2,2 clusters
-0.6883746414225413,1.9439213229385062,9999ELL,1,2 clusters
4.245688962910589,-0.5902189821575891,9999ELM,2,2 clusters
2.7575457038772795,0.7645235143662961,9999ELZ,2,2 clusters
7.2991456094220855,-0.17172442039115632,9999EM3,2,2 clusters
4.613217875616984,-0.2749070316089134,9999EM9,2,2 clusters
2.625926937964612,-0.7006839761146685,9999EMI,2,2 clusters
1.6192290113289332,-3.817164745242984,9999IVC,2,2 clusters
4.502439328813819,1.3684465377426982,9999IVH,2,2 clusters
2.2945077293951575,1.246090060870222,9999IVK,2,2 clusters
3.6993854599834455,0.7648415114897495,9999IVM,2,2 clusters
3.0736805699060277,2.369683294770065,9999IVP,2,2 clusters
4.4600724741254645,-0.4590908313856496,9999JBS,2,2 clusters
4.577577770505085,-0.28424607144970226,9999JCF,2,2 clusters
2.7600005332118824,-3.1023996211234053,9999JCO,2,2 clusters
0.017390424872041576,-1.7960920785968308,9999JCP,1,2 clusters
4.2226345606676885,-0.6163300280203313,9999JDC,2,2 clusters
2.3976277940331983,-0.03997047933362513,9999JDH,2,2 clusters
7.31009184176438,-1.270689906918734,9999JDM,2,2 clusters
5.373801132199405,-1.3153548351084177,9999JDU,2,2 clusters
3.1264067992853963,-2.836314060288586,9999JE3,2,2 clusters
2.8669165706925974,-4.358837362911938,9999JEF,2,2 clusters
0.08377214044637228,-5.497026383815914,9999JER,1,2 clusters
1.7193440623801464,-2.685097951865398,9999JEU,2,2 clusters
-0.11884134017940341,-4.337606265744759,9999JEV,1,2 clusters
-0.14765355597391744,-3.275070150399868,9999JEW,1,2 clusters
-2.23838446724029,-1.9292685045244065,9999JF7,1,2 clusters
