Product,711_SLIN,Dollar Sales,Unit Sales,711_UPC,UPC 13,UPC 10,Custom US Category,Custom US Sub Category,Custom US National Brand or Private Label,Custom US Manufacturer,Custom US Trademark,Custom US Flavor Bucket,Custom US Flavor,Custom US Price Tier,Custom US Take Home or Single Serve
00028400313995-SMARTFD FLMWHCH6.3Z,307976,362,70,28400313995,28400313991,2840031399,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,HOT/SPICY,FLAMIN' HOT WHITE CHEDDAR,NON-PERMISSIBLE,TAKE HOME
00028400325165-DORITOS FLAMAS 2.75Z,307903,362,155,28400325165,28400325161,2840032516,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,FLAMAS,NON-PERMISSIBLE,SINGLE SERVE
00028400688000-CHTSWHCHDSNFLK2.375Z,301135,348,141,28400688000,28400688001,2840068800,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,WHITE CHEDDAR,NON-PERMISSIBLE,SINGLE SERVE
00028400713030-SMYSMRTFDWHTCHXL5.3Z,303924,343,66,28400713030,28400713031,2840071303,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SIMPLY,CHEESE,WHITE CHEDDAR,PERMISSIBLE,TAKE HOME
00028400719537-DRTSHTMSTDXXLLTO9.3Z,303702,329,55,28400719537,28400719531,2840071953,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,HOT MUSTARD,NON-PERMISSIBLE,TAKE HOME
00028400707800-FL XXVLLAYSADOBADAS,304283,329,136,28400707800,28400707801,2840070780,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,ALL OTHER,ADOBADAS,NON-PERMISSIBLE,SINGLE SERVE
00028400437929-SABRITSFIESTMIX 2.8Z,300679,293,124,28400437929,28400437921,2840043792,SALTY SNACKS,SNACK MIX,NATIONAL BRAND,FRITO LAY,SABRITAS,HOT/SPICY,ASSORTED,NON-PERMISSIBLE,SINGLE SERVE
00002840009156-LAYS CLASSICLSS 1.5Z,303257,280,188,2840009156,28400236491,2840023649,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,REGULAR/CLASSIC/UNFLAVORED,CLASSIC,NON-PERMISSIBLE,SINGLE SERVE
00028400632829-LAYDORT CLRNCH7.75Z,303809,276,58,28400632829,28400632821,2840063282,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,ALL OTHER,DORITOS COOL RANCH,NON-PERMISSIBLE,TAKE HOME
00028400047708-ROLD GOLD STCKS 16Z,302980,271,68,28400047708,28400047703,2840004770,SALTY SNACKS,PRETZELS,NATIONAL BRAND,FRITO LAY,ROLD GOLD,REGULAR/CLASSIC/UNFLAVORED,ORIGINAL,NON-PERMISSIBLE,TAKE HOME
00028400659321-SMARTFOODCRML&CHDR7Z,307798,254,49,28400659321,28400659321,2840065932,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,SWEET,CARAMEL AND CHEDDAR,NON-PERMISSIBLE,TAKE HOME
00028400703697-DRTJMPNJKCSXXL7.725Z,304235,252,42,28400703697,28400922871,2840092287,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,CHEESE,JUMPIN JACK CHEESE,NON-PERMISSIBLE,TAKE HOME
00028400684255-CHEETOS BAGOFBNS7.5Z,300529,245,43,28400684255,28400684251,2840068425,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,SWEET,CINNAMON SUGAR,NON-PERMISSIBLE,TAKE HOME
00028400517706-RUFFLES QUESO 8Z,301668,240,40,28400517706,28400517701,2840051770,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,CHEESE,QUESO,NON-PERMISSIBLE,TAKE HOME
00028400305785-CHTOSFLMNHTPPCRN6.5Z,307651,239,42,28400305785,28400305781,2840030578,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400701464-CHEETOSBOLITAS7Z,300615,234,42,28400701464,28400701461,2840070146,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,CHILE AND CHEESE,NON-PERMISSIBLE,TAKE HOME
00028400726214-LYSKTLCKRFLALDRDXL8Z,302419,226,54,28400726214,28400726211,2840072621,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,ALL OTHER,ALL DRESSED,NON-PERMISSIBLE,TAKE HOME
00028400719513-DTSTGYKTHPXXLLTO9.3Z,303704,216,36,28400719513,28400719511,2840071951,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,CONDIMENT,TANGY KETCHUP,NON-PERMISSIBLE,TAKE HOME
00028400575317-LAYS SMRBLT7.75Z,302894,211,44,28400575317,28400647781,2840064778,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,MEAT,BLT,NON-PERMISSIBLE,TAKE HOME
00028400516327-DORITOS SLSVRD9.25Z,301634,209,35,28400516327,28400516321,2840051632,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,SALSA VERDE,NON-PERMISSIBLE,TAKE HOME
00028400705622-BAKEN-ETSHNYMSTRD4Z,300560,209,78,28400705622,28400705621,2840070562,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,CONDIMENT,HONEY MUSTARD,NON-PERMISSIBLE,TAKE HOME
00028400043496-WAVY LAYS BBQ,302081,205,43,28400043496,28400043491,2840004349,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,BBQ,HICKORY BARBEQUE,NON-PERMISSIBLE,TAKE HOME
00002840007056-DRITOSNCHCHSLSS1.75Z,303266,155,104,2840007056,28400147052,2840014705,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,CHEESE,NACHO CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400517720-RUFFLES LM&JLPN8Z,301702,150,27,28400517720,28400517721,2840051772,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,HOT/SPICY,LIME & JALAPENO,NON-PERMISSIBLE,TAKE HOME
00028400596695-CHTSPUFFSHOT8Z,303401,148,27,28400596695,28400596691,2840059669,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400726276-LYSLTSLTBBQXXVL2.66Z,307775,141,57,28400726276,28400726271,2840072627,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,BBQ,BARBEQUE,NON-PERMISSIBLE,SINGLE SERVE
00028400695688-SMRTFDDORITONCH6.25Z,306334,140,27,28400695688,28400695681,2840069568,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,CHEESE,DORITOS NACHO CHEESE,NON-PERMISSIBLE,TAKE HOME
00028400693103-FRTSFLMNHTBBQXL9.25Z,304254,131,23,28400693103,28400693101,2840069310,SALTY SNACKS,CORN CHIPS,NATIONAL BRAND,FRITO LAY,FRITOS,BBQ,FLAMIN' HOT BBQ,NON-PERMISSIBLE,TAKE HOME
00028400152242-SUNCHPS FRCHONION 7Z,305163,121,27,28400152242,28400152241,2840015224,SALTY SNACKS,WAVY GRAIN CHIPS,NATIONAL BRAND,FRITO LAY,SUNCHIPS,ONION,FRENCH ONION,PERMISSIBLE,TAKE HOME
00028400718035-SNCHPMNTRYJGTMTOXL7Z,304232,121,27,28400718035,28400718031,2840071803,SALTY SNACKS,WAVY GRAIN CHIPS,NATIONAL BRAND,FRITO LAY,SUNCHIPS,ALL OTHER,MONTEREY JACK AND GARDEN TOMATO,PERMISSIBLE,TAKE HOME
00028400372183-FL KETTLE MSQT BBQ8Z,305738,117,28,28400372183,28400372181,2840037218,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,BBQ,MESQUITE BARBEQUE,NON-PERMISSIBLE,TAKE HOME
00028400604581-BAKENET FLMNHT2.125Z,302018,115,47,28400604581,28400604581,2840060458,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,SINGLE SERVE
00028400322546-CHEETOS CHDRPPCRN7Z,307652,108,19,28400322546,28400322541,2840032254,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,CHEDDAR,NON-PERMISSIBLE,TAKE HOME
00028400632812-LAYS CHEETOCHS7.75Z,303793,101,21,28400632812,28400632811,2840063281,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,CHEESE,CHEETOS CHEESE,NON-PERMISSIBLE,TAKE HOME
00810607020710-POPCORNERS KTLCRN7Z,302116,96,21,8.11E+11,8.11E+11,1060702071,SALTY SNACKS,ALL OTHER SALTY SNACK,NATIONAL BRAND,FRITO LAY,POPCORNERS,SWEET,KETTLE CORN,PERMISSIBLE,TAKE HOME
00028400705776-SANTITAS BLENDED 11Z,300605,89,33,28400705776,28400705771,2840070577,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,SANTITAS,REGULAR/CLASSIC/UNFLAVORED,YELLOW CORN,NON-PERMISSIBLE,TAKE HOME
00028400689748-LAYS LYRS3CHS1.75Z,305038,88,39,28400689748,28400689741,2840068974,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,CHEESE,THREE CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400200592-LAYS LGHTSALTED7.75Z,304614,77,16,28400200592,28400200591,2840020059,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,REGULAR/CLASSIC/UNFLAVORED,CLASSIC LIGHTLY SALTED,NON-PERMISSIBLE,TAKE HOME
00002840000300-LAY S BBQ LSS 1.5Z,303265,70,47,2840000300,28400003004,2840000300,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,BBQ,BARBEQUE,NON-PERMISSIBLE,SINGLE SERVE
00028400718158-LYWVYCBSDWHLTOXL7.5Z,304264,67,14,28400718158,28400718151,2840071815,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,ALL OTHER,CUBAN SANDWICH,NON-PERMISSIBLE,TAKE HOME
00028400721127-SMARTFDDRTSCRXL7.75Z,304244,62,12,28400721127,28400721121,2840072112,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,DAIRY,DORITOS COOL RANCH,NON-PERMISSIBLE,TAKE HOME
00028400689762-LAYSLYRSRCRM&ON1.75Z,305042,44,21,28400689762,28400689761,2840068976,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,DAIRY,SOUR CREAM AND ONION,NON-PERMISSIBLE,SINGLE SERVE
00028400719629-RFFLSHNYHBNRXXLLTO8Z,303699,42,7,28400719629,28400719621,2840071962,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,SWEET,HONEY HABANERO,NON-PERMISSIBLE,TAKE HOME
00028400701600-DRTS 3DCRNCHCHS 2.5Z,300865,41,18,28400701600,28400701601,2840070160,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,CHEESE,NACHO CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400709781-CHEETOSPRTZLCHDDR10Z,304849,40,7,28400709781,28400709781,2840070978,SALTY SNACKS,PRETZELS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,CHEDDAR,NON-PERMISSIBLE,TAKE HOME
00028400709798-CHEETOSPRTZLFLMHT10Z,304855,40,7,28400709798,28400709791,2840070979,SALTY SNACKS,PRETZELS,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400705646-BAKEN-ETS FLMNHT 4Z,300568,37,14,28400705646,28400705641,2840070564,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400731805-SFMRSHMLLWHTCCO6.25Z,309215,36,7,28400731805,28400731801,2840073180,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,SWEET,MARSHMALLOW HOT COCOA,NON-PERMISSIBLE,TAKE HOME
00028400047906-CHEETOSCRUNCHYLSS 2Z,303267,36,25,28400047906,28400047901,2840004790,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400712613-FLXXVLCHTSCHDRPRTZ3Z,304962,32,13,28400712613,28400712611,2840071261,SALTY SNACKS,PRETZELS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,CHEDDAR,NON-PERMISSIBLE,SINGLE SERVE
00028400528481-TOSTITOS CNTNTRD13Z,301622,30,5,28400528481,28400528481,2840052848,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,TOSTITOS,REGULAR/CLASSIC/UNFLAVORED,CANTINA TRADITIONAL,NON-PERMISSIBLE,TAKE HOME
00028400147415-SUNCHIPS REGULAR 7Z,305166,22,5,28400147415,28400147411,2840014741,SALTY SNACKS,WAVY GRAIN CHIPS,NATIONAL BRAND,FRITO LAY,SUNCHIPS,REGULAR/CLASSIC/UNFLAVORED,ORIGINAL,PERMISSIBLE,TAKE HOME
00028400201261-LAYS LIMON 7.75Z,301983,19,4,28400201261,28400201262,2840020126,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,HOT/SPICY,LIMON,NON-PERMISSIBLE,TAKE HOME
00028400657952-LAYSCRISPYTACO7.75Z,303019,19,4,28400657952,28400657951,2840065795,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,HOT/SPICY,CRISPY TACO,NON-PERMISSIBLE,TAKE HOME
00028400457200-SMARTFOODS APPLEMX7Z,301499,15,3,28400457200,28400457201,2840045720,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,SWEET,CARAMEL & CINNAMON APPLE,NON-PERMISSIBLE,TAKE HOME
00028400719056-BKDLYBFLCHKSWXL6.25Z,304260,13,3,28400719056,28400719051,2840071905,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,BAKED,HOT/SPICY,BUFFALO CHICKEN SANDWICH,PERMISSIBLE,TAKE HOME
00028400532808-LAYS GMDYCHILI2.625Z,300644,12,6,28400532808,28400532801,2840053280,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,HOT/SPICY,CHILI,NON-PERMISSIBLE,SINGLE SERVE
00028400515757-RUFFLES FLMNHTBBQ8Z,301544,12,2,28400515757,28400515881,2840051588,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,HOT/SPICY,FLAMIN' HOT BBQ,NON-PERMISSIBLE,TAKE HOME
00028400517980-TOSTITOS WHTCRN12Z,301714,12,2,28400517980,28400517981,2840051798,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,TOSTITOS,REGULAR/CLASSIC/UNFLAVORED,ORIGINAL,NON-PERMISSIBLE,TAKE HOME
00028400628419-CHEETOS SNWFLK 7Z,301410,11,2,28400628419,28400628411,2840062841,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,WHITE CHEDDAR,NON-PERMISSIBLE,TAKE HOME
00028400655323-CHEETOS MXSTRCRN8.5Z,303204,11,2,28400655323,28400655322,2840065532,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,DAIRY,MEXICAN STREET CORN,NON-PERMISSIBLE,TAKE HOME
00028400021869-FLXLROLDGLDCHDCHZ10Z,304902,11,3,28400021869,28400021863,2840002186,SALTY SNACKS,PRETZELS,NATIONAL BRAND,FRITO LAY,ROLD GOLD,CHEESE,CHEDDAR,NON-PERMISSIBLE,TAKE HOME
00028400436175-ROLDGOLDTHINS4Z,303581,10,4,28400436175,28400331171,2840033117,SALTY SNACKS,PRETZELS,NATIONAL BRAND,FRITO LAY,ROLD GOLD,REGULAR/CLASSIC/UNFLAVORED,REGULAR,NON-PERMISSIBLE,SINGLE SERVE
00028400002103-SANTITAS WHTCORN 11Z,304201,9,4,28400002103,28400705761,2840070576,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,SANTITAS,REGULAR/CLASSIC/UNFLAVORED,ORIGINAL,NON-PERMISSIBLE,TAKE HOME
00028400371858-LYSKTTLJLPNO8Z,302357,8,2,28400371858,28400371851,2840037185,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,HOT/SPICY,JALAPENO,NON-PERMISSIBLE,TAKE HOME
00028400528467-TOSTITOS CNTNTHN10Z,301612,6,1,28400528467,28400528461,2840052846,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,TOSTITOS,REGULAR/CLASSIC/UNFLAVORED,CANTINA THIN & CRISPY,NON-PERMISSIBLE,TAKE HOME
00028400071659-CHTSPFSWHTCHDRNTRL8Z,303121,5,1,28400071659,28400071655,2840007165,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,SIMPLY,CHEESE,WHITE CHEDDAR,PERMISSIBLE,TAKE HOME
00028400026635-SMPLYDRTSWTCDR2.625Z,306166,5,2,28400026635,28400146901,2840014690,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,SIMPLY,HOT/SPICY,SPICY WHITE CHEDDAR,PERMISSIBLE,SINGLE SERVE
00028400041447-CHESTERSHTFRY5.25Z,303545,5,2,28400041447,28400705691,2840070569,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHESTERS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400595872-BAKEN-ETS ORIGINAL4Z,301608,3,1,28400595872,28400509441,2840050944,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,REGULAR/CLASSIC/UNFLAVORED,REGULAR,NON-PERMISSIBLE,TAKE HOME
00028400445344-DORITOS SCRSRCH2.75Z,301774,2,1,28400445344,28400445341,2840044534,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,SCREAMIN' SRIRACHA,NON-PERMISSIBLE,SINGLE SERVE
00028400518581-DORITOS 3DCRNCHLCH2Z,300837,2,1,28400518581,28400691751,2840069175,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,CHEESE,CHILI CHEESE NACHO,NON-PERMISSIBLE,SINGLE SERVE
