Product,711_SLIN,Dollar Sales,Unit Sales,711_UPC,UPC 13,UPC 10,Custom US Category,Custom US Sub Category,Custom US National Brand or Private Label,Custom US Manufacturer,Custom US Trademark,Custom US Flavor Bucket,Custom US Flavor,Custom US Price Tier,Custom US Take Home or Single Serve
00028400349888-CHTSCHDRJLPASTR1.25Z,308693,6696,4495,28400349888,28400349881,2840034988,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,CHEDDAR JALAPENO,NON-PERMISSIBLE,SINGLE SERVE
00028400426435-RUFFLES ORIGINAL8.5Z,301735,6673,1114,28400426435,28400426431,2840042643,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,REGULAR/CLASSIC/UNFLAVORED,ORIGINAL,NON-PERMISSIBLE,TAKE HOME
00028400733403-SFMRSHMALLOWHTCCOA2Z,309214,6339,2546,28400733403,28400733401,2840073340,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,SWEET,MARSHMALLOW HOT COCOA,NON-PERMISSIBLE,SINGLE SERVE
00028400695640-SMRTFDDORITONCHCHS2Z,306325,6183,2484,28400695640,28400695641,2840069564,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,CHEESE,DORITOS NACHO CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400670104-NATUCHIPS ORGSLT4.5Z,301750,6167,2487,28400670104,28400670101,2840067010,SALTY SNACKS,FRUIT/VEGGIE CHIPS,NATIONAL BRAND,FRITO LAY,NATUCHIPS,REGULAR/CLASSIC/UNFLAVORED,ORIGINAL,NON-PERMISSIBLE,SINGLE SERVE
00028400632843-LAYS CHEETOCHS2.625Z,303789,6080,2444,28400632843,28400632841,2840063284,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,CHEESE,CHEETOS CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400702126-RUFFLESTWSTBBQ1.75Z,300532,5717,2388,28400702126,28400702121,2840070212,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,BBQ,SMOKEY BARBEQUE,NON-PERMISSIBLE,SINGLE SERVE
00028400725705-DRTSPYPNJLPXXVL2.63Z,302302,5406,2173,28400725705,28400725701,2840072570,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,SPICY PINEAPPLE JALAPENO,NON-PERMISSIBLE,SINGLE SERVE
00028400713078-SMPSMTFDWHCHXXVL1.6Z,303945,5398,2177,28400713078,28400713071,2840071307,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SIMPLY,CHEESE,WHITE CHEDDAR,PERMISSIBLE,SINGLE SERVE
00028400147408-SUNCHPS GRDNSALSA 7Z,305164,5146,1146,28400147408,28400147401,2840014740,SALTY SNACKS,WAVY GRAIN CHIPS,NATIONAL BRAND,FRITO LAY,SUNCHIPS,HOT/SPICY,GARDEN SALSA,PERMISSIBLE,TAKE HOME
00028400637695-LAYSPOPABLEWHTCHDR5Z,305756,4648,971,28400637695,28400637691,2840063769,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,CHEESE,WHITE CHEDDAR,NON-PERMISSIBLE,TAKE HOME
00028400480345-CHEETOS BBWTCH2.375Z,308035,4532,1821,28400480345,28400329321,2840032932,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,WHITE CHEDDAR,NON-PERMISSIBLE,SINGLE SERVE
00028400682077-DORITOS TNGRNCH2.75Z,303768,4505,1827,28400682077,28400682071,2840068207,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,FRUIT/VEGGIE,TANGY RANCH,NON-PERMISSIBLE,SINGLE SERVE
00028400324878-LAYS KETTLEJLPN2.5Z,307822,4273,1766,28400324878,28400324871,2840032487,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,HOT/SPICY,JALAPENO,NON-PERMISSIBLE,SINGLE SERVE
00028400718202-LYWVYCBSWHXXVL2.625Z,304265,4060,1631,28400718202,28400718201,2840071820,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,ALL OTHER,CUBAN SANDWICH,NON-PERMISSIBLE,SINGLE SERVE
00028400575324-LAYS SMRBLT2.625Z,302893,3942,1586,28400575324,28400575321,2840057532,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,MEAT,BLT,NON-PERMISSIBLE,SINGLE SERVE
00028400001748-LAYS SCO LSS 1.5Z,303258,3924,3235,28400001748,28400001744,2840000174,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,DAIRY,SOUR CREAM AND ONION,NON-PERMISSIBLE,SINGLE SERVE
00028400365826-DORITOS ULTCHDR2.75Z,308863,3821,1558,28400365826,28400365821,2840036582,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,CHEESE,ULTIMATE CHEDDAR,NON-PERMISSIBLE,SINGLE SERVE
