Geography,Retailer Store Number,Banner Name,TDLinx,Speedway Store ID ,Street Address,City,State Code,County,ZIP Code,Latitude,Longitude,DXID
45234 301 XENIA AVENUE YELLOW SPRINGS OH 45387,45234,Speedway ,446204,1202,301 XENIA AVENUE         ,YELLOW SPRINGS,OH,GREENE                ,45387,39.8044,-83.8897,999BPMZ
45258 4790 EAST BROAD STREET WHITEHALL OH 43213,45258,Speedway ,810379,1502,4790 EAST BROAD STREET   ,WHITEHALL,OH,FRANKLIN              ,43213,39.9766,-82.8734,99BNCLC
45530 1280 NORTH 21ST STREET NEWARK OH 43055,45530,Speedway ,322636,9194,1280 NORTH 21ST STREET   ,NEWARK,OH,LICKING               ,43055,40.08309,-82.42722,999GXES
45320 6757 AIRPORT HIGHWAY HOLLAND OH 43528,45320,Speedway ,445183,3605,6757 AIRPORT HIGHWAY     ,HOLLAND,OH,LUCAS                 ,43528,41.6118,-83.7028,99C1G23
45512 3980 EVERHARD ROAD NW CANTON OH 44709,45512,Speedway ,446291,9161,3980 EVERHARD ROAD NW    ,CANTON,OH,STARK                 ,44709,40.8591,-81.4221,999IO5V
45431 6500 WEST CENTRAL AVENUE TOLEDO OH 43617,45431,Speedway ,446028,5299,6500 WEST CENTRAL AVENUE ,TOLEDO,OH,LUCAS                 ,43617,41.6757,-83.6981,999NGZQ
45568 2965 EAST MAIN STREET COLUMBUS OH 43209,45568,Speedway ,791674,9339,2965 EAST MAIN STREET    ,COLUMBUS,OH,FRANKLIN              ,43209,39.9566,-82.9193,9999MYI
45591 4425 MONTGOMERY ROAD NORWOOD OH 45212,45591,Speedway ,194462,9576,4425 MONTGOMERY ROAD     ,NORWOOD,OH,HAMILTON              ,45212,39.1583,-84.4579,999QRAN
45304 2309 NORTH RIDGE ROAD E ASHTABULA OH 44004,45304,Speedway ,218118,3521,2309 NORTH RIDGE ROAD E  ,ASHTABULA,OH,ASHTABULA             ,44004,41.87607,-80.76563,999X3W8
45503 461 WEST MAIN STREET LOUISVILLE OH 44641,45503,Speedway ,63575,9053,461 WEST MAIN STREET     ,LOUISVILLE,OH,STARK                 ,44641,40.83775,-81.26315,999ID9G
46160 5500 AIRWAY ROAD DAYTON OH 45431,46160,Speedway ,442791,1032,5500 AIRWAY ROAD         ,DAYTON,OH,GREENE                ,45431,39.7712,-84.1083,999BPN4
45293 9254 STATE ROUTE 43 STREETSBORO OH 44241,45293,Speedway ,218093,3390,9254 STATE ROUTE 43      ,STREETSBORO,OH,PORTAGE               ,44241,41.2432,-81.3451,999BPNL
45348 317 HIGHLAND ROAD EAST MACEDONIA OH 44056,45348,Speedway ,177461,3661,317 HIGHLAND ROAD EAST   ,MACEDONIA,OH,SUMMIT                ,44056,41.2994,-81.5137,999QQB0
45390 6498 OLD TROY PIKE HUBER HEIGHTS OH 45424,45390,Speedway ,445184,5081,6498 OLD TROY PIKE       ,HUBER HEIGHTS,OH,MONTGOMERY            ,45424,39.8479,-84.1388,999X3VU
