Geography,Retailer Store Number,Banner Name,TDLinx,Speedway Store ID ,Street Address,City,State Code,County,ZIP Code,Latitude,Longitude,DXID
45526 175 SOUTH MULBERRY STREET LOGAN OH 43138,45526,Speedway ,322599,9186,175 SOUTH MULBERRY STREET,LOGAN,OH,HOCKING               ,43138,39.5381,-82.4073,999BPH4
45418 8023 SPRINGBORO PIKE MIAMISBURG OH 45342,45418,Speedway ,7375472,5259,8023 SPRINGBORO PIKE     ,MIAMISBURG,OH,MONTGOMERY            ,45342,39.6356,-84.2256,999QT1H
45368 990 EAST BROAD STREET ELYRIA OH 44035,45368,Speedway ,218178,3698,990 EAST BROAD STREET    ,ELYRIA,OH,LORAIN                ,44035,41.3647,-82.0781,99B1N3H
45426 752 TRENTON AVENUE FINDLAY OH 45840,45426,Speedway ,652391,5282,752 TRENTON AVENUE       ,FINDLAY,OH,HANCOCK               ,45840,41.0595,-83.66397,99ASK9E
45386 319 NORTH MAIN STREET NEW CARLISLE OH 45344,45386,Speedway ,445249,5073,319 NORTH MAIN STREET    ,NEW CARLISLE,OH,CLARK                 ,45344,39.9404,-84.025,99ASO10
45207 3991 INDIAN RIPPLE ROAD BEAVERCREEK OH 45440,45207,Speedway ,177655,1154,3991 INDIAN RIPPLE ROAD  ,BEAVERCREEK,OH,GREENE                ,45440,39.6948,-84.0847,999QSPM
45245 2423 KINGS MILLS ROAD MASON OH 45040,45245,Speedway ,445225,1224,2423 KINGS MILLS ROAD    ,MASON,OH,WARREN                ,45040,39.35707,-84.26067,999BPUJ
45484 8134 TROY PIKE HUBER HEIGHTS OH 45424,45484,Speedway ,445187,8241,8134 TROY PIKE           ,HUBER HEIGHTS,OH,MONTGOMERY            ,45424,39.8724,-84.1371,99AYAA5
45497 2502 WEST ALEXIS ROAD TOLEDO OH 43613,45497,Speedway ,1595333,8610,2502 WEST ALEXIS ROAD    ,TOLEDO,OH,LUCAS                 ,43613,41.7216,-83.6053,99C1G8N
45464 1835 RECREATION LANE AVON OH 44011,45464,Speedway ,7693674,7236,1835 RECREATION LANE     ,AVON,OH,LORAIN                ,44011,41.46385,-82.05793,99D4T83
45250 1529 MICHIGAN STREET SIDNEY OH 45365,45250,Speedway ,445918,1261,1529 MICHIGAN STREET     ,SIDNEY,OH,SHELBY                ,45365,40.28742,-84.17948,999X210
45599 3201 VALLEY STREET DAYTON OH 45424,45599,Speedway ,272842,9605,3201 VALLEY STREET       ,DAYTON,OH,MONTGOMERY            ,45424,39.79848,-84.12892,99B55F0
45432 2254 NORTH FAIRFIELD ROAD BEAVERCREEK OH 45431,45432,Speedway ,515191,5332,2254 NORTH FAIRFIELD ROAD,BEAVERCREEK,OH,GREENE                ,45431,39.75505,-84.05349,999QQDE
45182 1147 NORTH LIMESTONE ST SPRINGFIELD OH 45503,45182,Speedway ,445961,1025,1147 NORTH LIMESTONE ST  ,SPRINGFIELD,OH,CLARK                 ,45503,39.93814,-83.80625,99AQOB5
45584 3825 SOUTHWAY STREET SW CANTON OH 44706,45584,Speedway ,442720,9400,3825 SOUTHWAY STREET SW  ,CANTON,OH,STARK                 ,44706,40.78149,-81.41996,999X2ZW
45243 4320 ROOSEVELT BOULEVARD MIDDLETOWN OH 45044,45243,Speedway ,445236,1218,4320 ROOSEVELT BOULEVARD ,MIDDLETOWN,OH,BUTLER                ,45044,39.499,-84.3563,999BPN6
45312 7837 EAST LINCOLN HIGHWAY LIMA OH 45801,45312,Speedway ,442658,3547,7837 EAST LINCOLN HIGHWAY,LIMA,OH,ALLEN                 ,45801,40.83371,-83.95772,999MYV1
45461 8645 WATERVILLE SWANTON WATERVILLE OH 43566,45461,Speedway ,7310242,6395,8645 WATERVILLE SWANTON  ,WATERVILLE,OH,LUCAS                 ,43566,41.50613,-83.74797,99CN0LO
45589 2857 RIVER ROAD CINCINNATI OH 45204,45589,Speedway ,194459,9574,2857 RIVER ROAD          ,CINCINNATI,OH,HAMILTON              ,45204,39.0893,-84.5645,99APQMJ
45578 9738 PRINCETON GLENDALE CINCINNATI OH 45246,45578,Speedway ,803054,9367,9738 PRINCETON GLENDALE  ,CINCINNATI,OH,HAMILTON              ,45246,39.3146,-84.46392,999QP7Z
45401 2232 NEEDMORE ROAD DAYTON OH 45414,45401,Speedway ,442795,5169,2232 NEEDMORE ROAD       ,DAYTON,OH,MONTGOMERY            ,45414,39.81958,-84.19222,99APPM1
45267 11141 SANDUSKY STREET PERRYSBURG OH 43551,45267,Speedway ,592257,2866,11141 SANDUSKY STREET    ,PERRYSBURG,OH,WOOD                  ,43551,41.5511,-83.6061,999QRCH
45177 731 NORTH MAIN STREET URBANA OH 43078,45177,Speedway ,202174,1001,731 NORTH MAIN STREET    ,URBANA,OH,CHAMPAIGN             ,43078,40.116,-83.751,999BPMP
45423 595 ANDERSON FERRY ROAD CINCINNATI OH 45238,45423,Speedway ,442750,5268,595 ANDERSON FERRY ROAD  ,CINCINNATI,OH,HAMILTON              ,45238,39.1035,-84.6175,999HYT3
45329 800 BELLEFONTAINE AVENUE MARION OH 43302,45329,Speedway ,218128,3619,800 BELLEFONTAINE AVENUE ,MARION,OH,MARION                ,43302,40.5743,-83.14364,999X256
45625 2401 GALLIA STREET PORTSMOUTH OH 45662,45625,Speedway ,65768,9747,2401 GALLIA STREET       ,PORTSMOUTH,OH,SCIOTO                ,45662,38.7396,-82.9684,999A6ZM
45638 104 WADSWORTH RD ORRVILLE OH 44667,45638,Speedway ,7892368,1052,76 WADSWORTH RD-PARCEL 1 ,ORRVILLE,OH,WAYNE                 ,44667,40.79787,-81.76571,99DAKWN
45494 6700 SYLVANIA AVENUE SYLVANIA OH 43560,45494,Speedway ,593582,8594,6700 SYLVANIA AVENUE     ,SYLVANIA,OH,LUCAS                 ,43560,41.6902,-83.7038,9999MY0
45604 830 EAST NATIONAL ROAD VANDALIA OH 45377,45604,Speedway ,272854,9616,830 EAST NATIONAL ROAD   ,VANDALIA,OH,MONTGOMERY            ,45377,39.8917,-84.183,99ABXAV
45335 4261 STATE ROUTE 43 KENT OH 44240,45335,Speedway ,151427,3632,4261 STATE ROUTE 43      ,KENT,OH,PORTAGE               ,44240,41.10569,-81.34779,999BPO3
45413 711 SOUTH MAIN STREET ENGLEWOOD OH 45322,45413,Speedway ,445096,5241,711 SOUTH MAIN STREET    ,ENGLEWOOD,OH,MONTGOMERY            ,45322,39.8675,-84.2909,9999N6H
45186 200 SOUTH MAIN STREET FRANKLIN OH 45005,45186,Speedway ,445149,1033,200 SOUTH MAIN STREET    ,FRANKLIN,OH,WARREN                ,45005,39.5615,-84.3024,
45297 8350 CINCINNATI DAYTON RD WEST CHESTER OH 45069,45297,Speedway ,1579585,3405,8350 CINCINNATI DAYTON RD,WEST CHESTER,OH,BUTLER                ,45069,39.344,-84.3956,999M38M
45248 4775 CORNELL ROAD BLUE ASH OH 45241,45248,Speedway ,515194,1259,4775 CORNELL ROAD        ,BLUE ASH,OH,HAMILTON              ,45241,39.2698,-84.3739,999QQ3S
45420 2172 ARLINGTON AVENUE TOLEDO OH 43609,45420,Speedway ,445988,5264,2172 ARLINGTON AVENUE    ,TOLEDO,OH,LUCAS                 ,43609,41.6234,-83.596,999BPLO
45410 2995 SAINT JOHNS ROAD LIMA OH 45804,45410,Speedway ,445207,5236,2995 SAINT JOHNS ROAD    ,LIMA,OH,ALLEN                 ,45804,40.6979,-84.08915,999QRE9
45542 801 2ND AVE GALLIPOLIS OH 45631,45542,Speedway ,65728,9241,801 2ND AVE              ,GALLIPOLIS,OH,GALLIA                ,45631,38.8132,-82.1969,9999MY4
45436 9369 MENTOR AVENUE MENTOR OH 44060,45436,Speedway ,177474,5402,9369 MENTOR AVENUE       ,MENTOR,OH,LAKE                  ,44060,41.67945,-81.30406,999QSWK
45617 3601 COLUMBIA PARKWAY CINCINNATI OH 45226,45617,Speedway ,980831,9707,3601 COLUMBIA PARKWAY    ,CINCINNATI,OH,HAMILTON              ,45226,39.1149,-84.4362,999QP7T
45619 5495 WILMINGTON PIKE CENTERVILLE OH 45440,45619,Speedway ,519239,9726,5495 WILMINGTON PIKE     ,CENTERVILLE,OH,MONTGOMERY            ,45440,39.6608,-84.1094,999BPHF
45576 121 EAST STEWART STREET DAYTON OH 45409,45576,Speedway ,702364,9365,121 EAST STEWART STREET  ,DAYTON,OH,MONTGOMERY            ,45409,39.7409,-84.1833,999BPL7
45180 405 SOUTH BURNETT ROAD SPRINGFIELD OH 45505,45180,Speedway ,445924,1015,405 SOUTH BURNETT ROAD   ,SPRINGFIELD,OH,CLARK                 ,45505,39.9165,-83.7704,999BPL6
45463 1501 RODEN PARK DRIVE MONROE OH 45050,45463,Speedway ,2577586,7048,1501 RODEN PARK DRIVE    ,MONROE,OH,BUTLER                ,45050,39.4407,-84.4296,99BXGEJ
45349 26020 DIXIE HIGHWAY PERRYSBURG OH 43551,45349,Speedway ,618245,3664,26020 DIXIE HIGHWAY      ,PERRYSBURG,OH,WOOD                  ,43551,41.5295,-83.6364,999X24S
45229 1875 HARDING HIGHWAY LIMA OH 45804,45229,Speedway ,445204,1195,1875 HARDING HIGHWAY     ,LIMA,OH,ALLEN                 ,45804,40.73081,-84.07133,999X3IL
45246 1895 STRINGTOWN ROAD GROVE CITY OH 43123,45246,Speedway ,235060,1231,1895 STRINGTOWN ROAD     ,GROVE CITY,OH,FRANKLIN              ,43123,39.878,-83.0534,999X3IN
45501 1241 WEST NORTH STREET SPRINGFIELD OH 45504,45501,Speedway ,1001070,8916,1241 WEST NORTH STREET   ,SPRINGFIELD,OH,CLARK                 ,45504,39.9283,-83.8312,999BPKN
45340 4210 BELMONT AVENUE YOUNGSTOWN OH 44505,45340,Speedway ,151458,3637,4210 BELMONT AVENUE      ,YOUNGSTOWN,OH,MAHONING              ,44505,41.15819,-80.66555,999X24Z
45235 329 S MAIN ST. BELLEFONTAINE OH 43311,45235,Speedway ,442661,1203,329 S MAIN ST.           ,BELLEFONTAINE,OH,LOGAN                 ,43311,40.3574,-83.7598,99AWKAM
45220 11885 HAMILTON AVENUE CINCINNATI OH 45231,45220,Speedway ,202210,1181,11885 HAMILTON AVENUE    ,CINCINNATI,OH,HAMILTON              ,45231,39.29971,-84.56358,99ASJVM
45631 508 NORTH MEMORIAL DRIVE LANCASTER OH 43130,45631,Speedway ,59822,9773,508 NORTH MEMORIAL DRIVE ,LANCASTER,OH,FAIRFIELD             ,43130,39.7192,-82.6065,99AXO4K
45596 520 SYCAMORE STREET NEW RICHMOND OH 45157,45596,Speedway ,218523,9595,520 SYCAMORE STREET      ,NEW RICHMOND,OH,CLERMONT              ,45157,38.9556,-84.2804,999FWSX
45416 1650 EAST WOOSTER STREET BOWLING GREEN OH 43402,45416,Speedway ,442706,5253,1650 EAST WOOSTER STREET ,BOWLING GREEN,OH,WOOD                  ,43402,41.3743,-83.6206,99ASO0T
45476 3501 ROOSEVELT BLVD MIDDLETOWN OH 45044,45476,Speedway ,300591,8016,3501 ROOSEVELT BLVD      ,MIDDLETOWN,OH,BUTLER                ,45044,39.50029,-84.36808,99ASK9G
45208 2996 DERR ROAD SPRINGFIELD OH 45503,45208,Speedway ,445958,1156,2996 DERR ROAD           ,SPRINGFIELD,OH,CLARK                 ,45503,39.96633,-83.78476,999QT1C
45616 3304 E. BROAD ST. COLUMBUS OH 43213,45616,Speedway ,7404062,9706,3304 E. BROAD ST.        ,COLUMBUS,OH,FRANKLIN              ,43213,39.9723,-82.9132,99CRAF4
45435 1551 COVINGTON AVENUE PIQUA OH 45356,45435,Speedway ,445860,5401,1551 COVINGTON AVENUE    ,PIQUA,OH,MIAMI                 ,45356,40.1414,-84.2663,999BPLY
45537 319 EAST STATE STREET ATHENS OH 45701,45537,Speedway ,322643,9235,319 EAST STATE STREET    ,ATHENS,OH,ATHENS                ,45701,39.3373,-82.0879,999BPGQ
45384 2920 SHROYER ROAD KETTERING OH 45419,45384,Speedway ,445190,5064,2920 SHROYER ROAD        ,KETTERING,OH,MONTGOMERY            ,45419,39.7043,-84.1621,999QR5T
45451 243 NORTH BROADWAY STREET NEW PHILADELPHIA OH 44663,45451,Speedway ,626288,6242,243 NORTH BROADWAY STREET,NEW PHILADELPHIA,OH,TUSCARAWAS            ,44663,40.49247,-81.44413,99BP8J6
45308 838 STATE ROUTE 97 WEST BELLVILLE OH 44813,45308,Speedway ,151425,3535,838 STATE ROUTE 97 WEST  ,BELLVILLE,OH,RICHLAND              ,44813,40.64773,-82.54335,999X237
45465 2227 CAMPBELL ST SANDUSKY OH 44870,45465,Speedway ,7310217,7330,2227 CAMPBELL ST         ,SANDUSKY,OH,ERIE                  ,44870,41.4332,-82.7057,99CMVMA
45290 825 WORTHINGTON WOODS BLV COLUMBUS OH 43085,45290,Speedway ,1637807,3384,825 WORTHINGTON WOODS BLV,COLUMBUS,OH,FRANKLIN              ,43085,40.1186,-82.9946,999QSVA
45609 570 OHIO PIKE CINCINNATI OH 45255,45609,Speedway ,322680,9641,570 OHIO PIKE            ,CINCINNATI,OH,HAMILTON              ,45255,39.0704,-84.303,999X3ZV
45507 6351 MIDDLEBRANCH AVE NE CANTON OH 44721,45507,Speedway ,7562975,9148,6351 MIDDLEBRANCH AVE NE ,CANTON,OH,STARK                 ,44721,40.8734,-81.3346,99DBK13
45306 34740 EUCLID AVENUE WILLOUGHBY OH 44094,45306,Speedway ,218122,3529,34740 EUCLID AVENUE      ,WILLOUGHBY,OH,LAKE                  ,44094,41.6245,-81.4407,999QT52
45244 799 ARLINGTON ROAD BROOKVILLE OH 45309,45244,Speedway ,442708,1219,799 ARLINGTON ROAD       ,BROOKVILLE,OH,MONTGOMERY            ,45309,39.84528,-84.42538,999QSTY
45546 6425 EAST BROAD STREET COLUMBUS OH 43213,45546,Speedway ,480241,9263,6425 EAST BROAD STREET   ,COLUMBUS,OH,FRANKLIN              ,43213,39.9803,-82.832,99ASK9F
45404 625 NORTHLAND BOULEVARD FOREST PARK OH 45240,45404,Speedway ,445105,5211,625 NORTHLAND BOULEVARD  ,FOREST PARK,OH,HAMILTON              ,45240,39.2812,-84.4953,999QQDI
47190 1269 OLD STATE ROUTE 74 BATAVIA OH 45103,47190,Speedway ,446289,9674,1269 OLD STATE ROUTE 74  ,BATAVIA,OH,CLERMONT              ,45103,39.0883,-84.2368,999BPHX
45510 2129 SOUTH MAIN STREET AKRON OH 44301,45510,Speedway ,272748,9155,2129 SOUTH MAIN STREET   ,AKRON,OH,SUMMIT                ,44301,41.0293,-81.5268,999QR9S
45344 1160 AKRON ROAD WADSWORTH OH 44281,45344,Speedway ,151460,3650,1160 AKRON ROAD          ,WADSWORTH,OH,MEDINA                ,44281,41.04573,-81.69057,999HZ2Q
45517 601 STATE ROUTE 7 NORTH GALLIPOLIS OH 45631,45517,Speedway ,272793,9168,601 STATE ROUTE 7 NORTH  ,GALLIPOLIS,OH,GALLIA                ,45631,38.8452,-82.1463,99D1DUA
46720 722 EAST MAIN STREET LEBANON OH 45036,46720,Speedway ,445196,5105,722 EAST MAIN STREET     ,LEBANON,OH,WARREN                ,45036,39.4324,-84.193,99AQLLK
45454 1120 CANTON ROAD NW CARROLLTON OH 44615,45454,Speedway ,935342,6245,1120 CANTON ROAD NW      ,CARROLLTON,OH,CARROLL               ,44615,40.58785,-81.09153,99BKWBH
45289 710 GRISWOLD ROAD ELYRIA OH 44035,45289,Speedway ,445094,3379,710 GRISWOLD ROAD        ,ELYRIA,OH,LORAIN                ,44035,41.4003,-82.1203,99B1N3I
47182 9251 COLERAIN AVENUE CINCINNATI OH 45251,47182,Speedway ,194499,9573,9251 COLERAIN AVENUE     ,CINCINNATI,OH,HAMILTON              ,45251,39.2393,-84.59399,99AJT86
45292 7300 DIXIE HIGHWAY FAIRFIELD OH 45014,45292,Speedway ,1989607,3389,7300 DIXIE HIGHWAY       ,FAIRFIELD,OH,BUTLER                ,45014,39.30705,-84.48606,99ASZKN
45270 11790 LEBANON ROAD SHARONVILLE OH 45241,45270,Speedway ,593328,3081,11790 LEBANON ROAD       ,SHARONVILLE,OH,HAMILTON              ,45241,39.287,-84.3965,99ABX15
45412 955 GALLOWAY ROAD GALLOWAY OH 43119,45412,Speedway ,3930831,5238,955 GALLOWAY ROAD        ,GALLOWAY,OH,FRANKLIN              ,43119,39.9322,-83.1593,99C8JHH
45291 35066 CENTER RIDGE ROAD NORTH RIDGEVILLE OH 44039,45291,Speedway ,445244,3385,35066 CENTER RIDGE ROAD  ,NORTH RIDGEVILLE,OH,LORAIN                ,44039,41.3938,-82.0072,999QP2Y
45301 3088 CREEKSIDE DRIVE HAMILTON OH 45011,45301,Speedway ,2073466,3428,3088 CREEKSIDE DRIVE     ,HAMILTON,OH,BUTLER                ,45011,39.4085,-84.5072,99B6ULP
45269 31000 VINE STREET WILLOWICK OH 44095,45269,Speedway ,225505,3060,31000 VINE STREET        ,WILLOWICK,OH,LAKE                  ,44095,41.6423,-81.4708,999QPSP
45260 238 WEST 5TH STREET DELPHOS OH 45833,45260,Speedway ,445079,1507,238 WEST 5TH STREET      ,DELPHOS,OH,ALLEN                 ,45833,40.8472,-84.342,999X30Y
45444 744 WEST 5TH AVENUE COLUMBUS OH 43212,45444,Speedway ,1489038,6202,744 WEST 5TH AVENUE      ,COLUMBUS,OH,FRANKLIN              ,43212,39.9882,-83.026,99CCDME
45608 10760 READING ROAD CINCINNATI OH 45241,45608,Speedway ,272869,9633,10760 READING ROAD       ,CINCINNATI,OH,HAMILTON              ,45241,39.26218,-84.41622,999HZNF
45474 2383 DAYTON PIKE GERMANTOWN OH 45327,45474,Speedway ,905166,8014,2383 DAYTON PIKE         ,GERMANTOWN,OH,MONTGOMERY            ,45327,39.6382,-84.3479,999EIVP
45527 590 WEST CENTRAL AVENUE DELAWARE OH 43015,45527,Speedway ,288704,9189,590 WEST CENTRAL AVENUE  ,DELAWARE,OH,DELAWARE              ,43015,40.30681,-83.08984,999QQ7L
46153 1475 WEST MARKET STREET TROY OH 45373,46153,Speedway ,3602683,3424,1475 WEST MARKET STREET  ,TROY,OH,MIAMI                 ,45373,40.02304,-84.23896,99C19JW
45540 219 EAST EMMITT AVENUE WAVERLY OH 45690,45540,Speedway ,65792,9238,219 EAST EMMITT AVENUE   ,WAVERLY,OH,PIKE                  ,45690,39.1284,-82.9835,999BPGR
45257 1721 WEST STATE STREET FREMONT OH 43420,45257,Speedway ,445152,1405,1721 WEST STATE STREET   ,FREMONT,OH,SANDUSKY              ,43420,41.3549,-83.13318,99APO7S
47239 6000 BRANDT PIKE HUBER HEIGHTS OH 45424,47239,Speedway ,480308,9903,6000 BRANDT PIKE         ,HUBER HEIGHTS,OH,MONTGOMERY            ,45424,39.8401,-84.1174,99AW4XZ
45194 5387 NORTH BEND ROAD CINCINNATI OH 45247,45194,Speedway ,442742,1086,5387 NORTH BEND ROAD     ,CINCINNATI,OH,HAMILTON              ,45247,39.1881,-84.6025,99ASKKR
45252 2510 SOUTH REYNOLDS ROAD TOLEDO OH 43614,45252,Speedway ,446074,1264,2510 SOUTH REYNOLDS ROAD ,TOLEDO,OH,LUCAS                 ,43614,41.5941,-83.665,999LB84
45586 2619 SUNSET BOULEVARD STEUBENVILLE OH 43952,45586,Speedway ,61205,9403,2619 SUNSET BOULEVARD    ,STEUBENVILLE,OH,JEFFERSON             ,43952,40.37442,-80.65052,999QP4A
45539 433 2ND STREET MARIETTA OH 45750,45539,Speedway ,65855,9237,433 2ND STREET           ,MARIETTA,OH,WASHINGTON            ,45750,39.4188,-81.4584,9999MTA
45363 4208 EAST LAKE ROAD SHEFFIELD LAKE OH 44054,45363,Speedway ,445910,3690,4208 EAST LAKE ROAD      ,SHEFFIELD LAKE,OH,LORAIN                ,44054,41.48985,-82.10989,999QR8S
45462 2215 FAIRCREST ST CANTON OH 44706,45462,Speedway ,7800126,6465,2215 FAIRCREST ST        ,CANTON,OH,STARK                 ,44706,40.75136,-81.40083,99D5414
46724 376 AGLER ROAD GAHANNA OH 43230,46724,Speedway ,445155,5118,376 AGLER ROAD           ,GAHANNA,OH,FRANKLIN              ,43230,40.0197,-82.891,999X0F4
45319 3402 WOODVILLE ROAD NORTHWOOD OH 43619,45319,Speedway ,138656,3604,3402 WOODVILLE ROAD      ,NORTHWOOD,OH,WOOD                  ,43619,41.6122,-83.4802,99ASJUH
45477 2631 W ALEX BELL RD MORAINE OH 45459,45477,Speedway ,2010673,8017,2631 W ALEX BELL RD      ,MORAINE,OH,MONTGOMERY            ,45459,39.6725,-84.2138,99CFOPI
45251 2570 COLONEL GLENN HWY FAIRBORN OH 45324,45251,Speedway ,445102,1262,2570 COLONEL GLENN HWY   ,FAIRBORN,OH,GREENE                ,45324,39.77904,-84.05168,999QRZV
45403 6007 WESTERVILLE ROAD WESTERVILLE OH 43081,45403,Speedway ,446159,5207,6007 WESTERVILLE ROAD    ,WESTERVILLE,OH,FRANKLIN              ,43081,40.0955,-82.9259,999QS3N
45249 1103 UPPER VALLEY PIKE SPRINGFIELD OH 45504,45249,Speedway ,445930,1260,1103 UPPER VALLEY PIKE   ,SPRINGFIELD,OH,CLARK                 ,45504,39.9416,-83.8564,999BPNH
45358 7966 DARROW ROAD TWINSBURG OH 44087,45358,Speedway ,177466,3682,7966 DARROW ROAD         ,TWINSBURG,OH,SUMMIT                ,44087,41.2824,-81.4414,99CKLFW
45265 2875 STELZER ROAD COLUMBUS OH 43219,45265,Speedway ,2253606,2034,2875 STELZER ROAD        ,COLUMBUS,OH,FRANKLIN              ,43219,40.03204,-82.91124,99BVAZC
45556 906 LINCOLN WAY EAST MASSILLON OH 44646,45556,Speedway ,480258,9290,906 LINCOLN WAY EAST     ,MASSILLON,OH,STARK                 ,44646,40.7996,-81.5128,99ASJRU
45198 364 EAST MAIN STREET NEWARK OH 43055,45198,Speedway ,445253,1129,364 EAST MAIN STREET     ,NEWARK,OH,LICKING               ,43055,40.0597,-82.38704,99ASLR7
46165 260 SOUTH LOCUST STREET OXFORD OH 45056,46165,Speedway ,445264,1251,260 SOUTH LOCUST STREET  ,OXFORD,OH,BUTLER                ,45056,39.507,-84.7495,999X0EU
45305 32769 WALKER ROAD AVON LAKE OH 44012,45305,Speedway ,218121,3528,32769 WALKER ROAD        ,AVON LAKE,OH,LORAIN                ,44012,41.493,-82.0195,999QS5F
45558 7155 AIRPORT HIGHWAY HOLLAND OH 43528,45558,Speedway ,547326,9299,7155 AIRPORT HIGHWAY     ,HOLLAND,OH,LUCAS                 ,43528,41.6101,-83.7125,999BPH2
45628 808 PARK AVENUE IRONTON OH 45638,45628,Speedway ,65743,9760,808 PARK AVENUE          ,IRONTON,OH,LAWRENCE              ,45638,38.5373,-82.6795,99ASO1I
45228 2150 EAST DOROTHY LANE KETTERING OH 45420,45228,Speedway ,445191,1194,2150 EAST DOROTHY LANE   ,KETTERING,OH,MONTGOMERY            ,45420,39.7026,-84.1242,999QQS5
45601 1095 EATON AVENUE HAMILTON OH 45013,45601,Speedway ,272845,9608,1095 EATON AVENUE        ,HAMILTON,OH,BUTLER                ,45013,39.4232,-84.5768,999QRAJ
45615 527 EAST STATE STREET FREMONT OH 43420,45615,Speedway ,480302,9691,527 EAST STATE STREET    ,FREMONT,OH,SANDUSKY              ,43420,41.345,-83.105,99APLPV
45563 4230 ERIE AVENUE SW MASSILLON OH 44646,45563,Speedway ,480271,9314,4230 ERIE AVENUE SW      ,MASSILLON,OH,STARK                 ,44646,40.748,-81.5168,99ASKZG
45543 414 RICHLAND AVENUE ATHENS OH 45701,45543,Speedway ,65815,9242,414 RICHLAND AVENUE      ,ATHENS,OH,ATHENS                ,45701,39.31314,-82.10337,999BPGS
45472 607 E MAIN ST ANNA OH 45302,45472,Speedway ,300570,8012,607 E MAIN ST            ,ANNA,OH,SHELBY                ,45302,40.3946,-84.16367,99BA3RA
45622 10497 US-23 LUCASVILLE OH 45648,45622,Speedway ,446312,9734,10497 US-23              ,LUCASVILLE,OH,SCIOTO                ,45648,38.8784,-82.9971,999BPHI
45414 900 SCOTT DRIVE PIQUA OH 45356,45414,Speedway ,445858,5243,900 SCOTT DRIVE          ,PIQUA,OH,MIAMI                 ,45356,40.1515,-84.2236,999QQDF
45600 657 EAST DIXIE DRIVE WEST CARROLLTON OH 45449,45600,Speedway ,272844,9607,657 EAST DIXIE DRIVE     ,WEST CARROLLTON,OH,MONTGOMERY            ,45449,39.6756,-84.2422,99CPCKA
45417 240 SOUTH HAMILTON ROAD GAHANNA OH 43230,45417,Speedway ,445154,5254,240 SOUTH HAMILTON ROAD  ,GAHANNA,OH,FRANKLIN              ,43230,40.013,-82.8668,999X0F6
45618 390 EAST EXCHANGE STREET AKRON OH 44304,45618,Speedway ,322625,9715,390 EAST EXCHANGE STREET ,AKRON,OH,SUMMIT                ,44304,41.0713,-81.5093,999QRB2
45325 5010 SECOR ROAD TOLEDO OH 43623,45325,Speedway ,446057,3613,5010 SECOR ROAD          ,TOLEDO,OH,LUCAS                 ,43623,41.7067,-83.6235,999BPNZ
45473 926 ARLINGTON RD BROOKVILLE OH 45309,45473,Speedway ,1791777,8013,926 ARLINGTON RD         ,BROOKVILLE,OH,MONTGOMERY            ,45309,39.85167,-84.42462,99CF7IP
45345 564 NORTH TRIMBLE ROAD MANSFIELD OH 44906,45345,Speedway ,151461,3652,564 NORTH TRIMBLE ROAD   ,MANSFIELD,OH,RICHLAND              ,44906,40.775,-82.5515,999QQB2
47130 3974 CLEVELAND AVENUE COLUMBUS OH 43224,47130,Speedway ,446300,9249,3974 CLEVELAND AVENUE    ,COLUMBUS,OH,FRANKLIN              ,43224,40.0504,-82.9536,999X4HY
45204 1603 HARDING HIGHWAY EAST MARION OH 43302,45204,Speedway ,445221,1146,1603 HARDING HIGHWAY EAST,MARION,OH,MARION                ,43302,40.59261,-83.08692,999X3IO
45242 1415 SOUTH MAIN STREET FINDLAY OH 45840,45242,Speedway ,445103,1217,1415 SOUTH MAIN STREET   ,FINDLAY,OH,HANCOCK               ,45840,41.0228,-83.6502,999HYMF
45191 1708 TREMAINSVILLE ROAD TOLEDO OH 43613,45191,Speedway ,446064,1070,1708 TREMAINSVILLE ROAD  ,TOLEDO,OH,LUCAS                 ,43613,41.6927,-83.5852,999QSPF
45577 4 WELLER DRIVE TIPP CITY OH 45371,45577,Speedway ,702397,9366,4 WELLER DRIVE           ,TIPP CITY,OH,MIAMI                 ,45371,39.9615,-84.1912,999BPPO
45613 6203 WOOSTER PIKE FAIRFAX OH 45227,45613,Speedway ,446408,9682,6203 WOOSTER PIKE        ,FAIRFAX,OH,HAMILTON              ,45227,39.1431,-84.3877,999HYV2
45407 179 E DAYTON YELLOW SPRS FAIRBORN OH 45324,45407,Speedway ,445098,5222,179 E DAYTON YELLOW SPRS ,FAIRBORN,OH,GREENE                ,45324,39.7902,-84.0218,99BY3RR
45240 1430 WEST LANE AVENUE UPPER ARLINGTON OH 43221,45240,Speedway ,620629,1215,1430 WEST LANE AVENUE    ,UPPER ARLINGTON,OH,FRANKLIN              ,43221,40.0073,-83.0483,999QPOW
45408 1136 EAST MAIN STREET CHILLICOTHE OH 45601,45408,Speedway ,442734,5224,1136 EAST MAIN STREET    ,CHILLICOTHE,OH,ROSS                  ,45601,39.338,-82.9497,999QQDH
45318 5160 DORR STREET TOLEDO OH 43615,45318,Speedway ,446043,3602,5160 DORR STREET         ,TOLEDO,OH,LUCAS                 ,43615,41.6535,-83.6642,99C5NA3
45509 930 BLUE AVENUE ZANESVILLE OH 43701,45509,Speedway ,272745,9153,930 BLUE AVENUE          ,ZANESVILLE,OH,MUSKINGUM             ,43701,39.94987,-82.0172,999BPOP
